EID,GPU Duration (µs),Input Vertices Read,Input Primitives,GS Primitives,Rasterizer Invocations,Rasterized Primitives,Samples Passed,VS Invocations,TCS Invocations,TES Invocations,GS Invocations,PS Invocations,CS Invocations
1174,0.00,500328,166776,0,166776,41441,680018,136602,0,0,0,0,0
1175,0.00,99072,33024,0,33024,13232,1752917,23208,0,0,0,0,0
1176,0.00,99072,33024,0,33024,12823,1236105,23208,0,0,0,0,0
1177,0.00,99072,33024,0,33024,8517,173203,23208,0,0,0,0,0
1178,1.73140E+12,99072,33024,0,33024,7241,47598,23208,0,0,0,0,0
1179,6.52,99072,33024,0,33024,6725,17325,23208,0,0,0,0,0
1180,6.64,99072,33024,0,33024,7861,57079,23208,0,0,0,0,0
1181,11.28,99072,33024,0,33024,12538,661783,23208,0,0,0,0,0
1182,25.96,99072,33024,0,33024,14600,2833386,23208,0,0,0,0,0
1183,15.68,198720,66240,0,66240,15762,123335,56406,0,0,0,0,0
1184,10.96,87552,29184,0,29184,11279,1057237,20730,0,0,0,0,0
1185,14.12,82944,27648,0,27648,9704,1475363,19668,0,0,0,0,0
1186,1.84466E+17,87552,29184,0,29184,10029,1464459,20730,0,0,0,0,0
1187,0.00,87552,29184,0,29184,8442,166282,20730,0,0,0,0,0
1188,0.00,82944,27648,0,27648,7518,279494,19668,0,0,0,0,0
1189,0.00,87552,29184,0,29184,6579,83525,20730,0,0,0,0,0
1190,0.00,82944,27648,0,27648,7767,152832,19668,0,0,0,0,0
1191,0.00,87552,29184,0,29184,10315,61513,20730,0,0,0,0,0
1192,0.00,82944,27648,0,27648,7442,331,19668,0,0,0,0,0
1193,0.00,87552,29184,0,29184,6675,487,20730,0,0,0,0,0
1194,0.00,144,48,0,48,24,1980,96,0,0,0,0,0
1195,1.73140E+12,89226,29742,0,29742,4166,9162,21660,0,0,0,0,0
1196,3.64,144,48,0,48,29,2676,96,0,0,0,0,0
1197,7.84,89226,29742,0,29742,5430,42045,21618,0,0,0,0,0
1198,3.44,144,48,0,48,32,5896,96,0,0,0,0,0
1199,7.84,89226,29742,0,29742,5389,49526,21660,0,0,0,0,0
1200,2.92,144,48,0,48,28,2095,96,0,0,0,0,0
1201,6.16,89226,29742,0,29742,4224,10991,21618,0,0,0,0,0
1202,4.76,8424,2808,0,2808,816,40975,3198,0,0,0,0,0
1203,5.52,39798,13266,0,13266,2845,9186,9462,0,0,0,0,0
1204,4.80,8424,2808,0,2808,810,42405,3198,0,0,0,0,0
1205,5.68,39798,13266,0,13266,2800,12582,9462,0,0,0,0,0
1206,4.40,8424,2808,0,2808,813,36132,3198,0,0,0,0,0
1207,5.56,39798,13266,0,13266,2782,12029,9462,0,0,0,0,0
1208,3.92,7200,2400,0,2400,651,28153,2700,0,0,0,0,0
1209,4.48,39798,13266,0,13266,2827,19111,9462,0,0,0,0,0
1210,3.80,7200,2400,0,2400,482,4553,2700,0,0,0,0,0
1211,4.36,39798,13266,0,13266,2283,4639,9462,0,0,0,0,0
1212,3.88,7200,2400,0,2400,469,3851,2700,0,0,0,0,0
1213,4.44,39798,13266,0,13266,2280,4279,9462,0,0,0,0,0
1214,4.00,7200,2400,0,2400,642,27458,2700,0,0,0,0,0
1215,4.52,39798,13266,0,13266,2849,20854,9462,0,0,0,0,0
1216,13.00,165312,55104,0,55104,16272,750,39744,0,0,0,0,0
1217,4.32,27378,9126,0,9126,1858,24924,6510,0,0,0,0,0
1218,4.08,24516,8172,0,8172,1779,25505,5796,0,0,0,0,0
1219,4.40,27378,9126,0,9126,2326,0,6510,0,0,0,0,0
1220,4.44,24516,8172,0,8172,2336,0,5796,0,0,0,0,0
1221,1.84466E+17,504,168,0,168,416,0,300,0,0,0,0,0
1222,0.00,260712,86904,0,86904,50003,1934095,73980,0,0,0,0,0
1223,0.00,180,60,0,60,168,0,120,0,0,0,0,0
1238,0.00,65520,21840,0,21840,5510,160570,20226,0,0,0,0,0
1239,0.00,8424,2808,0,2808,796,38905,3198,0,0,0,0,0
1240,0.00,39798,13266,0,13266,2830,1733,9462,0,0,0,0,0
1241,1.73140E+12,24516,8172,0,8172,1961,153739,5796,0,0,0,0,0
1242,1.84466E+17,1944,648,0,648,576,12179372,780,0,0,0,0,0
1243,0.00,5040,1680,0,1680,1337,13091240,3408,0,0,0,0,0
1244,0.00,41976,13992,0,13992,8841,7026218,12678,0,0,0,0,0
1245,0.00,26208,8736,0,8736,4555,1347237,10500,0,0,0,0,0
1246,0.00,52128,17376,0,17376,9659,2992281,19662,0,0,0,0,0
1247,0.00,288,96,0,96,128,9028484,96,0,0,0,0,0
1248,0.00,41976,13992,0,13992,8452,14189729,12678,0,0,0,0,0
1249,0.00,19728,6576,0,6576,2231,269836,7200,0,0,0,0,0
1250,0.00,66240,22080,0,22080,9143,11080599,38808,0,0,0,0,0
1251,0.00,3672,1224,0,1224,928,14554447,1308,0,0,0,0,0
1252,0.00,3672,1224,0,1224,952,3356010,1284,0,0,0,0,0
1253,0.00,2664,888,0,888,803,12892918,852,0,0,0,0,0
1254,0.00,2880,960,0,960,267,11133,792,0,0,0,0,0
1255,0.00,2016,672,0,672,181,0,744,0,0,0,0,0
1256,1.73140E+12,2880,960,0,960,313,24333,792,0,0,0,0,0
1257,3.20,2016,672,0,672,215,0,744,0,0,0,0,0
1258,3.68,2880,960,0,960,299,20619,792,0,0,0,0,0
1259,3.16,2016,672,0,672,192,0,744,0,0,0,0,0
1260,3.72,2880,960,0,960,323,30681,792,0,0,0,0,0
1261,3.12,2016,672,0,672,207,0,744,0,0,0,0,0
1262,3.72,2880,960,0,960,280,18384,792,0,0,0,0,0
1263,3.28,2016,672,0,672,176,4711,744,0,0,0,0,0
1264,3.56,2880,960,0,960,280,17921,792,0,0,0,0,0
1265,3.12,2016,672,0,672,194,754,744,0,0,0,0,0
1266,4.08,2880,960,0,960,336,41043,792,0,0,0,0,0
1267,3.44,2016,672,0,672,221,5212,744,0,0,0,0,0
1268,3.80,2880,960,0,960,322,37105,792,0,0,0,0,0
1269,3.48,2016,672,0,672,198,6066,744,0,0,0,0,0
1270,3.84,2880,960,0,960,346,43559,792,0,0,0,0,0
1271,3.44,2016,672,0,672,213,5225,744,0,0,0,0,0
1272,11.28,7920,2640,0,2640,1627,2194968,5352,0,0,0,0,0
1273,35.76,576,192,0,192,368,748738,336,0,0,0,0,0
1274,20.28,5040,1680,0,1680,1319,3585838,3408,0,0,0,0,0
1275,1.84466E+17,972,324,0,324,368,13589233,396,0,0,0,0,0
1276,0.00,4356,1452,0,1452,681,0,1908,0,0,0,0,0
1277,0.00,432,144,0,144,65,0,288,0,0,0,0,0
1278,0.00,1476,492,0,492,287,0,588,0,0,0,0,0
1279,2.92,432,144,0,144,65,0,288,0,0,0,0,0
1280,4.60,10008,3336,0,3336,1394,68005,4260,0,0,0,0,0
1281,10.88,900,300,0,300,440,324344,552,0,0,0,0,0
